PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33444437","On the complexity of haplotyping a microbial community","Nicholls SM, Aubrey W, De Grave K, Schietgat L, Creevey CJ, Clare A.","Bioinformatics. 2020 Nov 18;37(10):1360-6. doi: 10.1093/bioinformatics/btaa977. Online ahead of print.","Nicholls SM","Bioinformatics","2020","2021/01/14","PMC8208737","","10.1093/bioinformatics/btaa977"
"33470404","CoRC - the COPASI R Connector","Förster J, Bergmann FT, Pahle J.","Bioinformatics. 2020 Jan 20:btab033. doi: 10.1093/bioinformatics/btab033. Online ahead of print.","Förster J","Bioinformatics","2020","2021/01/20","","","10.1093/bioinformatics/btab033"
"33367853","UniBioDicts: Unified access to biological dictionaries","Zobolas J, Touré V, Kuiper M, Vercruysse S.","Bioinformatics. 2020 Dec 26;37(1):143-4. doi: 10.1093/bioinformatics/btaa1065. Online ahead of print.","Zobolas J","Bioinformatics","2020","2020/12/28","PMC8034525","","10.1093/bioinformatics/btaa1065"
"32176244","Projected t-SNE for batch correction","Aliverti E, Tilson JL, Filer DL, Babcock B, Colaneri A, Ocasio J, Gershon TR, Wilhelmsen KC, Dunson DB.","Bioinformatics. 2020 Jun 1;36(11):3522-3527. doi: 10.1093/bioinformatics/btaa189.","Aliverti E","Bioinformatics","2020","2020/03/17","PMC7267829","","10.1093/bioinformatics/btaa189"
"33346828","The COVID-19 Ontology","Sargsyan A, Kodamullil AT, Baksi S, Darms J, Madan S, Gebel S, Keminer O, Jose GM, Balabin H, DeLong LN, Kohler M, Jacobs M, Hofmann-Apitius M.","Bioinformatics. 2020 Dec 21;36(24):5703-5. doi: 10.1093/bioinformatics/btaa1057. Online ahead of print.","Sargsyan A","Bioinformatics","2020","2020/12/21","PMC7799333","","10.1093/bioinformatics/btaa1057"
"32814974","SOS: online probability estimation and generation of T-and B-cell receptors","Isacchini G, Olivares C, Nourmohammad A, Walczak AM, Mora T.","Bioinformatics. 2020 Aug 15;36(16):4510-4512. doi: 10.1093/bioinformatics/btaa574.","Isacchini G","Bioinformatics","2020","2020/08/21","","","10.1093/bioinformatics/btaa574"
"32232442","TwisTranscripT: stochastic simulation of the transcription-supercoiling coupling","El Houdaigui B, Meyer S.","Bioinformatics. 2020 Jun 1;36(12):3899-3901. doi: 10.1093/bioinformatics/btaa221.","El Houdaigui B","Bioinformatics","2020","2020/04/02","","","10.1093/bioinformatics/btaa221"
"32637981","matFR: a MATLAB toolbox for feature ranking","Zhang Z, Liang X, Qin W, Yu S, Xie Y.","Bioinformatics. 2020 Dec 8;36(19):4968-4969. doi: 10.1093/bioinformatics/btaa621.","Zhang Z","Bioinformatics","2020","2020/07/09","","","10.1093/bioinformatics/btaa621"
"32311016","Codon optimization: a mathematical programing approach","Şen A, Kargar K, Akgün E, Pınar MÇ.","Bioinformatics. 2020 Jul 1;36(13):4012-4020. doi: 10.1093/bioinformatics/btaa248.","Şen A","Bioinformatics","2020","2020/04/21","","","10.1093/bioinformatics/btaa248"
"32657365","Weighted minimizer sampling improves long read mapping","Jain C, Rhie A, Zhang H, Chu C, Walenz BP, Koren S, Phillippy AM.","Bioinformatics. 2020 Jul 1;36(Suppl_1):i111-i118. doi: 10.1093/bioinformatics/btaa435.","Jain C","Bioinformatics","2020","2020/07/14","PMC7355284","","10.1093/bioinformatics/btaa435"
"32282889","Pooled variable scaling for cluster analysis","Raymaekers J, Zamar RH.","Bioinformatics. 2020 Jun 1;36(12):3849-3855. doi: 10.1093/bioinformatics/btaa243.","Raymaekers J","Bioinformatics","2020","2020/04/14","","","10.1093/bioinformatics/btaa243"
"33381845","Feasible-metabolic-pathway-exploration technique using chemical latent space","Fuji T, Nakazawa S, Ito K.","Bioinformatics. 2020 Dec 30;36(Suppl_2):i770-i778. doi: 10.1093/bioinformatics/btaa809.","Fuji T","Bioinformatics","2020","2020/12/31","PMC8454040","","10.1093/bioinformatics/btaa809"
"32614445","TDAview: an online visualization tool for topological data analysis","Walsh K, Voineagu MA, Vafaee F, Voineagu I.","Bioinformatics. 2020 Sep 15;36(18):4805-4809. doi: 10.1093/bioinformatics/btaa600.","Walsh K","Bioinformatics","2020","2020/07/03","","","10.1093/bioinformatics/btaa600"
"33326008","Collecting and managing taxonomic data with NCBI-taxonomist","Buchmann JP, Holmes EC.","Bioinformatics. 2020 Dec 16;36(22-23):5548-50. doi: 10.1093/bioinformatics/btaa1027. Online ahead of print.","Buchmann JP","Bioinformatics","2020","2020/12/16","PMC8016462","","10.1093/bioinformatics/btaa1027"
"33325496","On Biases Of Attention In Scientific Discovery","Singer U, Radinsky K, Horvitz E.","Bioinformatics. 2020 Dec 16:btaa1036. doi: 10.1093/bioinformatics/btaa1036. Online ahead of print.","Singer U","Bioinformatics","2020","2020/12/16","","","10.1093/bioinformatics/btaa1036"
"33381830","APOD: accurate sequence-based predictor of disordered flexible linkers","Peng Z, Xing Q, Kurgan L.","Bioinformatics. 2020 Dec 30;36(Suppl_2):i754-i761. doi: 10.1093/bioinformatics/btaa808.","Peng Z","Bioinformatics","2020","2020/12/31","PMC7773485","","10.1093/bioinformatics/btaa808"
"32683443","Enlighten2: molecular dynamics simulations of protein-ligand systems made accessible","Zinovjev K, van der Kamp MW.","Bioinformatics. 2020 Dec 22;36(20):5104-5106. doi: 10.1093/bioinformatics/btaa643.","Zinovjev K","Bioinformatics","2020","2020/07/20","","","10.1093/bioinformatics/btaa643"
"32324859","GlyGen data model and processing workflow","Kahsay R, Vora J, Navelkar R, Mousavi R, Fochtman BC, Holmes X, Pattabiraman N, Ranzinger R, Mahadik R, Williamson T, Kulkarni S, Agarwal G, Martin M, Vasudev P, Garcia L, Edwards N, Zhang W, Natale DA, Ross K, Aoki-Kinoshita KF, Campbell MP, York WS, Mazumder R.","Bioinformatics. 2020 Jun 1;36(12):3941-3943. doi: 10.1093/bioinformatics/btaa238.","Kahsay R","Bioinformatics","2020","2020/04/24","PMC7320628","","10.1093/bioinformatics/btaa238"
"32657375","Hopper: a mathematically optimal algorithm for sketching biological data","DeMeo B, Berger B.","Bioinformatics. 2020 Jul 1;36(Suppl_1):i236-i241. doi: 10.1093/bioinformatics/btaa408.","DeMeo B","Bioinformatics","2020","2020/07/14","PMC7355272","","10.1093/bioinformatics/btaa408"
"32339223","aPCoA: covariate adjusted principal coordinates analysis","Shi Y, Zhang L, Do KA, Peterson CB, Jenq RR.","Bioinformatics. 2020 Jul 1;36(13):4099-4101. doi: 10.1093/bioinformatics/btaa276.","Shi Y","Bioinformatics","2020","2020/04/28","PMC7332564","","10.1093/bioinformatics/btaa276"
"33381814","Geometricus represents protein structures as shape-mers derived from moment invariants","Durairaj J, Akdel M, de Ridder D, van Dijk ADJ.","Bioinformatics. 2020 Dec 30;36(Suppl_2):i718-i725. doi: 10.1093/bioinformatics/btaa839.","Durairaj J","Bioinformatics","2020","2020/12/31","","","10.1093/bioinformatics/btaa839"
"32657414","Phylogenetic double placement of mixed samples","Balaban M, Mirarab S.","Bioinformatics. 2020 Jul 1;36(Suppl_1):i335-i343. doi: 10.1093/bioinformatics/btaa489.","Balaban M","Bioinformatics","2020","2020/07/14","PMC7355250","","10.1093/bioinformatics/btaa489"
"32246829","T-Gene: improved target gene prediction","O'Connor T, Grant CE, Bodén M, Bailey TL.","Bioinformatics. 2020 Jun 1;36(12):3902-3904. doi: 10.1093/bioinformatics/btaa227.","O'Connor T","Bioinformatics","2020","2020/04/05","PMC7320607","","10.1093/bioinformatics/btaa227"
"32657405","Chromatin network markers of leukemia","Malod-Dognin N, Pancaldi V, Valencia A, Pržulj N.","Bioinformatics. 2020 Jul 1;36(Suppl_1):i455-i463. doi: 10.1093/bioinformatics/btaa445.","Malod-Dognin N","Bioinformatics","2020","2020/07/14","PMC7355288","","10.1093/bioinformatics/btaa445"
"32657368","ClonArch: visualizing the spatial clonal architecture of tumors","Wu J, El-Kebir M.","Bioinformatics. 2020 Jul 1;36(Suppl_1):i161-i168. doi: 10.1093/bioinformatics/btaa471.","Wu J","Bioinformatics","2020","2020/07/14","PMC7355227","","10.1093/bioinformatics/btaa471"
"33325489","Complete populations of virtual patients for in silico clinical trials","Sinisi S, Alimguzhin V, Mancini T, Tronci E, Leeners B.","Bioinformatics. 2020 Dec 16:btaa1026. doi: 10.1093/bioinformatics/btaa1026. Online ahead of print.","Sinisi S","Bioinformatics","2020","2020/12/16","","","10.1093/bioinformatics/btaa1026"
