PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33483726","Oxford nanopore sequencing in clinical microbiology and infection diagnostics","Sheka D, Alabi N, Gordon PMK.","Brief Bioinform. 2021 Sep 2;22(5):bbaa403. doi: 10.1093/bib/bbaa403.","Sheka D","Brief Bioinform","2021","2021/01/23","","","10.1093/bib/bbaa403"
"33839742","Venn diagrams in bioinformatics","Jia A, Xu L, Wang Y.","Brief Bioinform. 2021 Sep 2;22(5):bbab108. doi: 10.1093/bib/bbab108.","Jia A","Brief Bioinform","2021","2021/04/11","","","10.1093/bib/bbab108"
"33758906","Genome-resolved metagenomics using environmental and clinical samples","Kayani MUR, Huang W, Feng R, Chen L.","Brief Bioinform. 2021 Sep 2;22(5):bbab030. doi: 10.1093/bib/bbab030.","Kayani MUR","Brief Bioinform","2021","2021/03/24","PMC8425419","","10.1093/bib/bbab030"
"33839760","Bioinformatics and machine learning approach identifies potential drug targets and pathways in COVID-19","Auwul MR, Rahman MR, Gov E, Shahjaman M, Moni MA.","Brief Bioinform. 2021 Sep 2;22(5):bbab120. doi: 10.1093/bib/bbab120.","Auwul MR","Brief Bioinform","2021","2021/04/11","PMC8083354","","10.1093/bib/bbab120"
"33834199","A comprehensive review of the imbalance classification of protein post-translational modifications","Dou L, Yang F, Xu L, Zou Q.","Brief Bioinform. 2021 Sep 2;22(5):bbab089. doi: 10.1093/bib/bbab089.","Dou L","Brief Bioinform","2021","2021/04/09","","","10.1093/bib/bbab089"
"34585234","Characterizing viral circRNAs and their application in identifying circRNAs in viruses","Niu M, Ju Y, Lin C, Zou Q.","Brief Bioinform. 2021 Sep 28:bbab404. doi: 10.1093/bib/bbab404. Online ahead of print.","Niu M","Brief Bioinform","2021","2021/09/29","","","10.1093/bib/bbab404"
"33693457","Deep learning in bioinformatics and biomedicine","Berrar D, Dubitzky W.","Brief Bioinform. 2021 Mar 22;22(2):1513-1514. doi: 10.1093/bib/bbab087.","Berrar D","Brief Bioinform","2021","2021/03/11","PMC8485073","","10.1093/bib/bbab087"
"34471921","Graph representation learning in bioinformatics: trends, methods and applications","Yi HC, You ZH, Huang DS, Kwoh CK.","Brief Bioinform. 2021 Sep 1:bbab340. doi: 10.1093/bib/bbab340. Online ahead of print.","Yi HC","Brief Bioinform","2021","2021/09/02","","","10.1093/bib/bbab340"
"34020542","Interpretation of deep learning in genomics and epigenomics","Talukder A, Barham C, Li X, Hu H.","Brief Bioinform. 2021 May 20;22(3):bbaa177. doi: 10.1093/bib/bbaa177.","Talukder A","Brief Bioinform","2021","2021/05/22","PMC8138893","","10.1093/bib/bbaa177"
"33822883","Parallel computing for genome sequence processing","Zou Y, Zhu Y, Li Y, Wu FX, Wang J.","Brief Bioinform. 2021 Sep 2;22(5):bbab070. doi: 10.1093/bib/bbab070.","Zou Y","Brief Bioinform","2021","2021/04/06","","","10.1093/bib/bbab070"
