PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Duan, Yan; Dubouis, Nicolas; Huang, Jiaqiang; Dalla Corte, Daniel Alves; Pimenta, Vanessa; Xu, Zhichuan J.; Grimaud, Alexis				Xu, Zhichuan/D-1661-2013; Huang, Jiaqiang/S-7824-2016	Xu, Zhichuan/0000-0001-7746-5920; Huang, Jiaqiang/0000-0001-6956-7951; Dubouis, Nicolas/0000-0001-8698-7202; /0000-0002-9966-205X; DUAN, YAN/0000-0001-7682-1575			Revealing the Impact of Electrolyte Composition for Co-Based Water Oxidation Catalysts by the Study of Reaction Kinetics Parameters								ACS CATALYSIS				10	7			4160	4170		10.1021/acscatal.0c00490				APR 3 2020	2020	Recent studies have revealed the critical role played by the electrolyte composition on the oxygen evolution reaction (OER) kinetics on the surface of highly active catalysts. While numerous works were devoted to understand the effect of the electrolyte composition on the physical properties of the catalysts' surface, very little is known yet about its exact impact on the OER kinetics parameters. In this work, we reveal that the origin for the electrolyte-dependent OER activity for Co-based catalysts originates from two different effects. Increasing the alkaline electrolyte concentration for La1-xSrxCoO3-delta perovskites with x > 0 and for amorphous CoOOH increases the pre-exponential factor, which can be explained either by an increase of the concentration of active sites or by a change in the entropy of activation. However, changing the alkali cation results in a decrease of the apparent activation enthalpy for Fe-containing amorphous films, traducing a change in intermediates' binding energies.									9	0	0	0	2	0	9			2155-5435			WOS:000526395000018		
J	Wei, Changcheng; Yu, Qijun; Li, Jinzhe; Liu, Zhongmin								Coupling Conversion of n-Hexane and CO over an HZSM-5 Zeolite: Tuning the H/C Balance and Achieving High Aromatic Selectivity								ACS CATALYSIS				10	7			4171	4180		10.1021/acscatal.9b05619				APR 3 2020	2020	The coupling conversion of n-hexane (a model compound of naphtha) and CO was conducted over an HZSM-5 zeolite catalyst. A significant increase in the aromatic selectivity and dramatic decrease in the alkane selectivity were simultaneously achieved by adjusting the H/C ratio of the reactants. Under suitable conditions, the aromatic selectivity was 80%, which far exceeds the theoretical value for the conversion of only n-hexane over HZSM-5. Detailed studies revealed that the high aromatic selectivity originated from the direct incorporation of CO into the products. Different characterization methods were used to elucidate the coupling reaction mechanism. Important reaction intermediates, such as acyl groups and oxygenates (substituted cyclopentenones), were detected. Isotope labeling studies revealed that oxygenates were formed by (CO)-C-13 incorporation into alkyl species, and they could transform into aromatic products. Based on these findings, a plausible reaction mechanism of the coupling transformation was proposed. The coupling effect between n-hexane and CO over HZSM-5 demonstrated in this work contradicts the traditional view that metal catalysts are indispensable for the highly selective conversion of naphtha to aromatics. This type of coupling reaction might have great potential for industrial applications, considering the large existing supply capacities of CO and alkanes.									3	1	0	0	0	0	4			2155-5435			WOS:000526395000019		
J	Mao, Zhongtian; Campbell, Charles T.				Mao, Zhongtian/AAV-2132-2021	Mao, Zhongtian/0000-0003-3621-0299			Kinetic Isotope Effects: Interpretation and Prediction Using Degrees of Rate Control								ACS CATALYSIS				10	7			4181	4192		10.1021/acscatal.9b05637				APR 3 2020	2020	Kinetic isotope effects (KIEs) have been used for decades in catalysis research as a tool for clarifying reaction mechanisms. Significant primary kinetic isotope effects have usually been interpreted as being a result of isotope substitution at a site of bond breaking (or forming) in the rate-determining step in the reaction mechanism. However, quantitative analysis of the magnitude of the KIE in complex multistep reaction mechanisms is seldom reported. We prove here that the logarithm of the rate ratio for two isotopes is the weighted average over all species in the mechanism of their standard-state free-energy difference between the two isotopes, divided by RT. The weighting factor is the degree of rate control (DRC) for that species (e.g., transition state, intermediate, reactant) when the rate is measured separately for each isotope. It is instead the degree of selectivity ratio control (DSRC) when the KIE is measured as the product selectivity in a parallel competition between two isotopes within the same reactant molecule. Since only a few species have nonzero DRCs (or DSRCs) for most reactions, only these few contribute to this weighted average and the KIE. We show that this provides a simple way to interpret and quantitatively predict kinetic isotope effects that is powerful in the insights it provides, allowing one to evaluate directly which species contribute most to the KIE. By applying it to H/D KIEs in several example mechanisms, we further show that the traditional way of interpreting KIEs that focuses only on the rate-determining step can easily lead to misunderstanding of KIE and the reaction mechanism. This highlights the importance to consider the effect of isotope substitution on the energies of all species with large DRCs (i.e., those whose energies are kinetically relevant). This method also offers opportunities for quantitative validation of mechanism-based microkinetic models.									8	0	1	0	1	0	9			2155-5435			WOS:000526395000020		
J	Batista, Ana T. F.; Baaziz, Walid; Taleb, Anne-Lise; Chaniot, Johan; Moreaud, Maxime; Legens, Christele; Aguilar-Tapia, Antonio; Proux, Olivier; Hazemann, Jean-Louis; Diehl, Fabrice; Chizallet, Celine; Gay, Anne-Sophie; Ersen, Ovidiu; Raybaud, Pascal				BM16, Beamline FAME-UHD/G-1839-2018; Chizallet, Celine/R-2929-2017; Raybaud, Pascal/N-1312-2014; Proux, Olivier/F-7344-2012	Raybaud, Pascal/0000-0003-4506-5062; Proux, Olivier/0000-0003-0385-1815; Chaniot, Johan/0000-0001-9646-064X; Chizallet, Celine/0000-0001-5140-8397			Atomic Scale Insight into the Formation, Size, and Location of Platinum Nanoparticles Supported on gamma-Alumina								ACS CATALYSIS				10	7			4193	4204		10.1021/acscatal.0c00042				APR 3 2020	2020	A clear description of the morphology and location, with respect to the support, of metallic subnanometric particles remains a current strenuous experimental challenge in numerous catalytic applications such as naphtha reforming and biomass conversion. High-resolution HAADF-STEM coupled with in situ and tomographic analyses have been undertaken on a platinum (Pt) active phase supported on chlorinated alumina (gamma-Al2O3) with 0.3 and 1 wt % Pt loadings, highlighting the formation of flat nanoparticles (NPs) of 0.9 nm diameter and Pt single atoms (SAs) in the reduced state. While SAs and weakly cohesive clusters are predominantly observed in the oxide state, with a coordination sphere of Pt composed of O and Cl as revealed by EXAFS, the ratio between SAs and Pt NPs in the reduced state is found to be about 2.8. This ratio is the same for the two metal loadings: both the total numbers of NPs and SAs increase at a higher metal loading. Electron tomography reveals that the vast majority of NPs are located on the edges or defects (steps, kinks) of the.-alumina support crystallites. DFT calculations further highlight the optimized structures of NPs located at the gamma-Al2O3 (110)-(100) edge and near-edge with a stability competing with NPs located either on the (110) or on the (100) gamma-Al2O3 facet. A mathematical analysis of the segmented volumes shows that the average geodesic distances between NPs is linked to Pt loading: 9 nm for 1 wt % Pt and 16 nm for 0.3 wt % Pt. Evaluation of support tortuosity descriptors using the nanoparticle positions confirms a uniform distribution on the support. A square network geometric model compatible with the geodesic distances between NPs reveals that one to five NPs can be present at the same time on each alumina crystallite depending on Pt loading.									8	0	0	0	0	0	8			2155-5435			WOS:000526395000021		
J	Kong, Fanpeng; Ren, Zhouhong; Banis, Mohammad Norouzi; Du, Lei; Zhou, Xin; Chen, Guangyu; Zhang, Lei; Li, Junjie; Wang, Sizhe; Li, Minsi; Doyle-Davis, Kieran; Ma, Yulin; Li, Ruying; Young, Alan P.; Yang, Lijun; Markiewicz, Matthew; Tong, Yujin; Yin, Geping; Du, Chunyu; Luo, Jun; Sun, Xueliang				Sun, Xueliang/C-7257-2012	Wang, Sizhe/0000-0002-2068-6308			Active and Stable Pt-Ni Alloy Octahedra Catalyst for Oxygen Reduction via Near-Surface Atomical Engineering								ACS CATALYSIS				10	7			4205	4214		10.1021/acscatal.9b05133				APR 3 2020	2020	Shape-controlled Pt-based bimetallic nanocrystals with ultrathin Pt-rich surfaces are appealing electrocatalysts for some key electrochemical reactions such as the oxygen reduction reaction (ORR) because of the synergistic tuning of topological atom configuration and strengthened electronic effects. However, it is rather challenging to fabricate such particular structures that can remain intact in harsh electrochemical environments, as such Pt-based nanocatalysts are unable to simultaneously achieve both unparalleled activity and robust stability. Here, a facile surface engineering strategy is proposed and employed to atomically tailor the near-surface structure of the Pt1.5Ni octahedra. The engineered Pt-Ni octahedra consist of an ultrathin Pt-rich shell (similar to two atomic layers) and Pt-rich bulk composition. The optimized octahedral catalyst exhibits superior specific and mass activity (7.7 mA/cm(2) Pt and 1.9 A/mg Pt at 0.9 V) for ORR, similar to 20 and similar to 10 times higher than commercial Pt/C, respectively. The ligand and strain effects arising from the near-surface engineering are unraveled to be responsible for the remarkable ORR activity. Moreover, it shows robust stability with just 9.2% decay in mass activity after accelerated degradation tests (ADTs), as its compositional nature prevents surface Pt atoms and interior Ni atoms from diffusion and dissolution, compared with a decrease of 33% for commercial Pt/C. Our atomical engineered surface strategy illustrates a facile and effective design for a class of Pt-based nanocatalysts with excellent activity and stability.									19	1	0	0	0	0	19			2155-5435			WOS:000526395000022		
J	Schilling, Alex C.; Groden, Kyle; Simonovis, Juan Pablo; Hunt, Adrian; Hannagan, Ryan T.; Cinar, Volkan; McEwen, Jean-Sabin; Sykes, E. Charles H.; Waluyo, Iradwikanari				; Waluyo, Iradwikanari/R-3282-2017	McEwen, Jean-Sabin/0000-0003-0931-4869; Waluyo, Iradwikanari/0000-0002-4046-9722			Accelerated Cu2O Reduction by Single Pt Atoms at the Metal-Oxide Interface								ACS CATALYSIS				10	7			4215	4226		10.1021/acscatal.9b05270				APR 3 2020	2020	The reducibility of metal oxides, when they serve as the catalyst support or are the active sites themselves, plays an important role in heterogeneous catalytic reactions. Here we present an integrated experimental and theoretical study that reveals how the addition of small amounts of atomically dispersed Pt at the metal/oxide interface dramatically enhances the reducibility of a Cu2O thin film by H-2. X-ray photoelectron spectroscopy (XPS) and temperature-programmed desorption (TPD) results reveal that, upon oxidation, a PtCu single-atom alloy (SAA) surface is covered by a thin Cu2O film and is, therefore, unable to dissociate H-2. Despite this, in situ studies using ambient-pressure (AP) XPS reveal that the presence of a small amount of Pt under the oxide layer can, at the single-atom limit, promote the reduction of Cu2O by H-2 at room temperature. We built two density functional theory based surface models to better understand these experimental findings: a Cu2O/Cu(111)-like surface oxide layer, known as the "29" oxide, in which Pt is alloyed into the Cu(111) surface, as well as a PtCu SAA. Our calculations suggest that the increased activity is due to the presence of atomically dispersed Pt under the surface oxide layer, which weakens the Cu-O bonds in its immediate vicinity, thus making the interface between subsurface Pt and the surface oxide a nucleation site for the formation of metallic Cu. This initial step in the reduction process results in the presence of surface Pt atoms surrounded by metallic Cu patches, and the Pt atoms become active in H-2 dissociation, which consequently accelerates the reduction of the oxide layer. This work demonstrates how isolated Pt atoms at the metal/oxide interface of a Cu-based catalyst accelerate the reduction of the oxide and, therefore, help maintain the active, reduced state of the catalyst under the reaction conditions.									11	0	0	0	1	0	11			2155-5435			WOS:000526395000023		
J	Bugnola, Marco; Shen, Kaiji; Haviv, Eynat; Neumann, Ronny								Reductive Electrochemical Activation of Molecular Oxygen Catalyzed by an Iron-Tungstate Oxide Capsule: Reactivity Studies Consistent with Compound I Type Oxidants								ACS CATALYSIS				10	7			4227	4237		10.1021/acscatal.0c00897				APR 3 2020	2020	The reductive activation of molecular oxygen catalyzed by iron-based enzymes toward its use as an oxygen donor is paradigmatic for oxygen transfer reactions in nature. Mechanistic studies on these enzymes and related biomimetic coordination compounds designed to form reactive intermediates, almost invariably using various "shunt" pathways, have shown that high-valent Fe(V)=O and the formally isoelectronic Fe(IV)=O porphyrin cation radical intermediates are often thought to be the active species in alkane and arene hydroxylation and alkene epoxidation reactions. Although this four decade long research effort has yielded a massive amount of spectroscopic data, reactivity studies, and a detailed, but still incomplete, mechanistic understanding, the actual reductive activation of molecular oxygen coupled with efficient catalytic transformations has rarely been experimentally studied. Recently, we found that a completely inorganic iron-tungsten oxide capsule with a keplerate structure, noted as {Fe30W72}, is an effective electrocatalyst for the cathodic activation of molecular oxygen in water leading to the oxidation of light alkanes and alkenes. The present report deals with extensive reactivity studies of these {Fe30W72} electrocatalytic reactions showing (1) arene hydroxylation including kinetic isotope effects and migration of the ipso substituent to the adjacent carbon atom ("NIH shift"); (2) a high kinetic isotope effect for alkyl C.H bond activation; (3) dealkylation of alkylamines and alkylsulfides; (4) desaturation reactions; (5) retention of stereochemistry in cis-alkene epoxidation; and (6) unusual regioselectivity in the oxidation of cyclic and acyclic ketones, alcohols, and carboxylic acids where reactivity is not correlated to the bond disassociation energy; the regioselectivity obtained is attributable to polar effects and/or entropic contributions. Collectively these results also support the conclusion that the active intermediate species formed in the catalytic cycle is consistent with a compound I type oxidant. The activity of {Fe30W72} in cathodic aerobic oxidation reactions shows it to be an inorganic functional analogue of iron-based monooxygenases.									6	0	0	0	1	0	6			2155-5435			WOS:000526395000024		
J	Chen, Tiantian; Yang, Haijian; Yang, Yang; Dong, Guangbin; Xing, Dong								Water-Accelerated Nickel-Catalyzed alpha-Crotylation of Simple Ketones with 1,3-Butadiene under pH and Redox-Neutral Conditions								ACS CATALYSIS				10	7			4238	4243		10.1021/acscatal.0c00019				APR 3 2020	2020	We report a nickel/NHC-catalyzed branched-selective acrotylation of simple ketones using 1,3-butadiene as the alkylation agent. This reaction is regioselective and operated under pH and redox-neutral conditions. Water was used as the sole additive, which significantly accelerates the transformation.									6	1	0	0	3	0	6			2155-5435			WOS:000526395000025		
J	Lopato, Eric M.; Eikey, Emily A.; Simon, Zoe C.; Back, Seoin; Tran, Kevin; Lewis, Jacqueline; Kowalewski, Jakub F.; Yazdi, Sadegh; Kitchin, John R.; Ulissi, Zachary W.; Millstone, Jill E.; Bernhard, Stefan				Kitchin, John Robert/A-2363-2010	Kitchin, John Robert/0000-0003-2625-9232; Eikey, Emily/0000-0001-9589-4331; Lopato, Eric/0000-0002-8160-7730			Parallelized Screening of Characterized and DFT-Modeled Bimetallic Colloidal Cocatalysts for Photocatalytic Hydrogen Evolution								ACS CATALYSIS				10	7			4244	4252		10.1021/acscatal.9b05404				APR 3 2020	2020	Using a newly designed and developed parallelized photoreactor and colorimetric detection method, a large sampling of bimetallic cocatalysts (Pd/Sn, Pd/Mo, Pd/Ru, Pd/Pb, Pd/Ni, Ni/Sn, Mo/Sn, and Pt/Sn) for photocatalytic water reduction have been tested. Of these cocatalysts, the combination of palladium and tin showed the highest synergistic behavior and peak hydrogen gas production at a low relative fraction of palladium. The resulting palladium/tin bimetallic cocatalysts were characterized, and specifically, and scanning transmission electron microscopy energy-dispersive X-ray spectroscopy indicated that palladium and tin elements reside within the same particle. The experimental catalytic activity for the palladium/tin mixture was compared to density functional theory-derived energy values associated with the adsorption of hydrogen onto a surface. This comparison demonstrated that the typical peak found in electrochemical Sabatier volcano plots at Delta G(H)* = similar to 0 eV were replicated in the experimental photocatalytic system with a peak activity observed at Delta G(H)* = -0.036 eV. Computational confirmation of the results expressed here demonstrates the efficacy of colorimetric detection of hydrogen in parallel and presents a model for increasingly rapid catalyst screening.									10	0	0	0	1	0	10			2155-5435			WOS:000526395000026		
J	Xue, Haijie; Liu, Hu; Lv, Bo; Yu, Yang; Wang, Ying; Huang, Meilan; Li, Chun					Li, Chun/0000-0003-4262-6848			Controlling Chemo- and Regioselectivity of a Plant P450 in Yeast Cell toward Rare Licorice Triterpenoid Biosynthesis								ACS CATALYSIS				10	7			4253	4260		10.1021/acscatal.0c00128				APR 3 2020	2020	The hallmark reaction of P450 monooxygenase involves activation of C-H bond and the production of a hydroxyl. P450s tailoring natural product could further oxidize the hydroxyl to carboxylic acid. However, heterogeneously expressed plant P450s display poor chemo- and regioselectivity in microbes, restricting the efficient biosynthesis of related natural products. CYP72A63 is a P450 enzyme previously used for the biosynthesis of glycyrrhetinic acid, and its poor selectivity resulted in oxidation of 11-oxo-beta-amyrin to a mixture of rare licorice triterpenoids (glycyrrhetol, glycyrrhetaldehyde, glycyrrhetinic acid, and 29-OH-11-oxo-beta-amyrin). In this study, we have identified key residues, which influence the enzyme-substrate hydrophobic interaction, in controlling the chemo- and regioselectivity of the enzyme and engineered the enzyme toward selectivity oxidation to hydroxyl and carboxylic acid. Moreover, tuning the redox partner of the P450 leads to selective production of glycyrrhetaldehyde, a good starting point for further modification. In this study, controlling the catalytic property of plant P450s prove to be of great use in the synthesis of desired licorice triterpenoids, which can be used in biosynthesis of other terpenoid natural products.									16	6	0	0	10	0	21			2155-5435			WOS:000526395000027		
