PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33970212","Visual Exploration of Large Metabolic Models","Aichem M, Czauderna T, Zhu Y, Zhao J, Klapperstück M, Klein K, Li J, Schreiber F.","Bioinformatics. 2021 May 10:btab335. doi: 10.1093/bioinformatics/btab335. Online ahead of print.","Aichem M","Bioinformatics","2021","2021/05/10","","","10.1093/bioinformatics/btab335"
"34252940","Topology-based sparsification of graph annotations","Danciu D, Karasikov M, Mustafa H, Kahles A, Rätsch G.","Bioinformatics. 2021 Jul 12;37(Suppl_1):i169-i176. doi: 10.1093/bioinformatics/btab330.","Danciu D","Bioinformatics","2021","2021/07/12","PMC8346655","","10.1093/bioinformatics/btab330"
"34042937","Peel Learning for Pathway-Related Outcome Prediction","Li Y, Wang F, Yan M, Cantu E, Yang FN, Rao H, Feng R.","Bioinformatics. 2021 May 27:btab402. doi: 10.1093/bioinformatics/btab402. Online ahead of print.","Li Y","Bioinformatics","2021","2021/05/27","","","10.1093/bioinformatics/btab402"
"34415323","Multi-omics Data Integration by Generative Adversarial Network","Ahmed KT, Sun J, Cheng S, Yong J, Zhang W.","Bioinformatics. 2021 Aug 20:btab608. doi: 10.1093/bioinformatics/btab608. Online ahead of print.","Ahmed KT","Bioinformatics","2021","2021/08/20","","","10.1093/bioinformatics/btab608"
"34252921","Gene tree and species tree reconciliation with endosymbiotic gene transfer","Anselmetti Y, El-Mabrouk N, Lafond M, Ouangraoua A.","Bioinformatics. 2021 Jul 12;37(Suppl_1):i120-i132. doi: 10.1093/bioinformatics/btab328.","Anselmetti Y","Bioinformatics","2021","2021/07/12","PMC8312264","","10.1093/bioinformatics/btab328"
"34293100","Python Interfaces for the Smoldyn Simulator","Singh D, Andrews SS.","Bioinformatics. 2021 Jul 22:btab530. doi: 10.1093/bioinformatics/btab530. Online ahead of print.","Singh D","Bioinformatics","2021","2021/07/22","","","10.1093/bioinformatics/btab530"
"34252939","Utilizing image and caption information for biomedical document classification","Li P, Jiang X, Zhang G, Trabucco JT, Raciti D, Smith C, Ringwald M, Marai GE, Arighi C, Shatkay H.","Bioinformatics. 2021 Jul 12;37(Suppl_1):i468-i476. doi: 10.1093/bioinformatics/btab331.","Li P","Bioinformatics","2021","2021/07/12","PMC8346654","","10.1093/bioinformatics/btab331"
"34117863","Methylation-eQTL Analysis in Cancer Research","Liu Y, Baggerly KA, Orouji E, Manyam G, Chen H, Lam M, Davis JS, Lee MS, Broom BM, Menter DG, Rai K, Kopetz S, Morris JS.","Bioinformatics. 2021 Jun 12:btab443. doi: 10.1093/bioinformatics/btab443. Online ahead of print.","Liu Y","Bioinformatics","2021","2021/06/12","","","10.1093/bioinformatics/btab443"
"34962976","RAxML Grove: An empirical Phylogenetic Tree Database","Höhler D, Pfeiffer W, Ioannidis V, Stockinger H, Stamatakis A.","Bioinformatics. 2021 Dec 28:btab863. doi: 10.1093/bioinformatics/btab863. Online ahead of print.","Höhler D","Bioinformatics","2021","2021/12/28","","","10.1093/bioinformatics/btab863"
"34554191","The Systems Biology Simulation Core Library","Panchiwala H, Shah S, Planatscher H, Zakharchuk M, König M, Dräger A.","Bioinformatics. 2021 Sep 23:btab669. doi: 10.1093/bioinformatics/btab669. Online ahead of print.","Panchiwala H","Bioinformatics","2021","2021/09/23","","","10.1093/bioinformatics/btab669"
