PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34912083","Biogeochemical extremes and compound events in the ocean","Gruber N, Boyd PW, Frölicher TL, Vogt M.","Nature. 2021 Dec;600(7889):395-407. doi: 10.1038/s41586-021-03981-7. Epub 2021 Dec 15.","Gruber N","Nature","2021","2021/12/16","","","10.1038/s41586-021-03981-7"
"34616074","The mouse cortico-basal ganglia-thalamic network","Foster NN, Barry J, Korobkova L, Garcia L, Gao L, Becerra M, Sherafat Y, Peng B, Li X, Choi JH, Gou L, Zingg B, Azam S, Lo D, Khanjani N, Zhang B, Stanis J, Bowman I, Cotter K, Cao C, Yamashita S, Tugangui A, Li A, Jiang T, Jia X, Feng Z, Aquino S, Mun HS, Zhu M, Santarelli A, Benavidez NL, Song M, Dan G, Fayzullina M, Ustrell S, Boesen T, Johnson DL, Xu H, Bienkowski MS, Yang XW, Gong H, Levine MS, Wickersham I, Luo Q, Hahn JD, Lim BK, Zhang LI, Cepeda C, Hintiryan H, Dong HW.","Nature. 2021 Oct;598(7879):188-194. doi: 10.1038/s41586-021-03993-3. Epub 2021 Oct 6.","Foster NN","Nature","2021","2021/10/07","PMC8494639","","10.1038/s41586-021-03993-3"
"34915548","Selective sulfidation of metal compounds","Stinn C, Allanore A.","Nature. 2021 Dec 16. doi: 10.1038/s41586-021-04321-5. Online ahead of print.","Stinn C","Nature","2021","2021/12/16","","","10.1038/s41586-021-04321-5"
"34853417","Mnemovirus","Joy AB.","Nature. 2021 Dec 1. doi: 10.1038/d41586-021-03577-1. Online ahead of print.","Joy AB","Nature","2021","2021/12/02","","","10.1038/d41586-021-03577-1"
"34837052","EverLife","García Juelle M.","Nature. 2021 Nov 26. doi: 10.1038/d41586-021-03556-6. Online ahead of print.","García Juelle M","Nature","2021","2021/11/27","","","10.1038/d41586-021-03556-6"
"34671134","Direct radiative effects of airborne microplastics","Revell LE, Kuma P, Le Ru EC, Somerville WRC, Gaw S.","Nature. 2021 Oct;598(7881):462-467. doi: 10.1038/s41586-021-03864-x. Epub 2021 Oct 20.","Revell LE","Nature","2021","2021/10/21","","","10.1038/s41586-021-03864-x"
"34880489","Combinatorial, additive and dose-dependent drug-microbiome associations","Forslund SK, Chakaroun R, Zimmermann-Kogadeeva M, Markó L, Aron-Wisnewsky J, Nielsen T, Moitinho-Silva L, Schmidt TSB, Falony G, Vieira-Silva S, Adriouch S, Alves RJ, Assmann K, Bastard JP, Birkner T, Caesar R, Chilloux J, Coelho LP, Fezeu L, Galleron N, Helft G, Isnard R, Ji B, Kuhn M, Le Chatelier E, Myridakis A, Olsson L, Pons N, Prifti E, Quinquis B, Roume H, Salem JE, Sokolovska N, Tremaroli V, Valles-Colomer M, Lewinter C, Søndertoft NB, Pedersen HK, Hansen TH; MetaCardis Consortium*, Gøtze JP, Køber L, Vestergaard H, Hansen T, Zucker JD, Hercberg S, Oppert JM, Letunic I, Nielsen J, Bäckhed F, Ehrlich SD, Dumas ME, Raes J, Pedersen O, Clément K, Stumvoll M, Bork P.","Nature. 2021 Dec;600(7889):500-505. doi: 10.1038/s41586-021-04177-9. Epub 2021 Dec 8.","Forslund SK","Nature","2021","2021/12/09","","","10.1038/s41586-021-04177-9"
"34880427","High-frequency and intrinsically stretchable polymer diodes","Matsuhisa N, Niu S, O'Neill SJK, Kang J, Ochiai Y, Katsumata T, Wu HC, Ashizawa M, Wang GN, Zhong D, Wang X, Gong X, Ning R, Gong H, You I, Zheng Y, Zhang Z, Tok JB, Chen X, Bao Z.","Nature. 2021 Dec;600(7888):246-252. doi: 10.1038/s41586-021-04053-6. Epub 2021 Dec 8.","Matsuhisa N","Nature","2021","2021/12/09","","","10.1038/s41586-021-04053-6"
"34912116","Towards the biogeography of prokaryotic genes","Coelho LP, Alves R, Del Río ÁR, Myers PN, Cantalapiedra CP, Giner-Lamia J, Schmidt TS, Mende DR, Orakov A, Letunic I, Hildebrand F, Van Rossum T, Forslund SK, Khedkar S, Maistrenko OM, Pan S, Jia L, Ferretti P, Sunagawa S, Zhao XM, Nielsen HB, Huerta-Cepas J, Bork P.","Nature. 2021 Dec 15. doi: 10.1038/s41586-021-04233-4. Online ahead of print.","Coelho LP","Nature","2021","2021/12/16","","","10.1038/s41586-021-04233-4"
"34880490","The emergence, genomic diversity and global spread of SARS-CoV-2","Li J, Lai S, Gao GF, Shi W.","Nature. 2021 Dec;600(7889):408-418. doi: 10.1038/s41586-021-04188-6. Epub 2021 Dec 8.","Li J","Nature","2021","2021/12/09","","","10.1038/s41586-021-04188-6"
"34933320","Activation mechanism of PINK1","Gan ZY, Callegari S, Cobbold SA, Cotton TR, Mlodzianoski MJ, Schubert AF, Geoghegan ND, Rogers KL, Leis A, Dewson G, Glukhova A, Komander D.","Nature. 2021 Dec 21. doi: 10.1038/s41586-021-04340-2. Online ahead of print.","Gan ZY","Nature","2021","2021/12/21","","","10.1038/s41586-021-04340-2"
"34937944","Targeting SWI/SNF ATPases in enhancer-addicted prostate cancer","Xiao L, Parolia A, Qiao Y, Bawa P, Eyunni S, Mannan R, Carson SE, Chang Y, Wang X, Zhang Y, Vo JN, Kregel S, Simko SA, Delekta AD, Jaber M, Zheng H, Apel IJ, McMurry L, Su F, Wang R, Zelenka-Wang S, Sasmal S, Khare L, Mukherjee S, Abbineni C, Aithal K, Bhakta MS, Ghurye J, Cao X, Navone NM, Nesvizhskii AI, Mehra R, Vaishampayan U, Blanchette M, Wang Y, Samajdar S, Ramachandra M, Chinnaiyan AM.","Nature. 2021 Dec 22. doi: 10.1038/s41586-021-04246-z. Online ahead of print.","Xiao L","Nature","2021","2021/12/23","","","10.1038/s41586-021-04246-z"
"34552257","Three-dimensional electronic microfliers inspired by wind-dispersed seeds","Kim BH, Li K, Kim JT, Park Y, Jang H, Wang X, Xie Z, Won SM, Yoon HJ, Lee G, Jang WJ, Lee KH, Chung TS, Jung YH, Heo SY, Lee Y, Kim J, Cai T, Kim Y, Prasopsukh P, Yu Y, Yu X, Avila R, Luan H, Song H, Zhu F, Zhao Y, Chen L, Han SH, Kim J, Oh SJ, Lee H, Lee CH, Huang Y, Chamorro LP, Zhang Y, Rogers JA.","Nature. 2021 Sep;597(7877):503-510. doi: 10.1038/s41586-021-03847-y. Epub 2021 Sep 22.","Kim BH","Nature","2021","2021/09/23","","","10.1038/s41586-021-03847-y"
"34853469","Accuracy mechanism of eukaryotic ribosome translocation","Djumagulov M, Demeshkina N, Jenner L, Rozov A, Yusupov M, Yusupova G.","Nature. 2021 Dec;600(7889):543-546. doi: 10.1038/s41586-021-04131-9. Epub 2021 Dec 1.","Djumagulov M","Nature","2021","2021/12/02","PMC8674143","","10.1038/s41586-021-04131-9"
"34732865","Episodic deluges in simulated hothouse climates","Seeley JT, Wordsworth RD.","Nature. 2021 Nov;599(7883):74-79. doi: 10.1038/s41586-021-03919-z. Epub 2021 Nov 3.","Seeley JT","Nature","2021","2021/11/04","","","10.1038/s41586-021-03919-z"
"34616042","Whole-cell organelle segmentation in volume electron microscopy","Heinrich L, Bennett D, Ackerman D, Park W, Bogovic J, Eckstein N, Petruncio A, Clements J, Pang S, Xu CS, Funke J, Korff W, Hess HF, Lippincott-Schwartz J, Saalfeld S, Weigel AV; COSEM Project Team.","Nature. 2021 Nov;599(7883):141-146. doi: 10.1038/s41586-021-03977-3. Epub 2021 Oct 6.","Heinrich L","Nature","2021","2021/10/07","","","10.1038/s41586-021-03977-3"
"34616068","An atlas of gene regulatory elements in adult mouse cerebrum","Li YE, Preissl S, Hou X, Zhang Z, Zhang K, Qiu Y, Poirion OB, Li B, Chiou J, Liu H, Pinto-Duarte A, Kubo N, Yang X, Fang R, Wang X, Han JY, Lucero J, Yan Y, Miller M, Kuan S, Gorkin D, Gaulton KJ, Shen Y, Nunn M, Mukamel EA, Behrens MM, Ecker JR, Ren B.","Nature. 2021 Oct;598(7879):129-136. doi: 10.1038/s41586-021-03604-1. Epub 2021 Oct 6.","Li YE","Nature","2021","2021/10/07","PMC8494637","","10.1038/s41586-021-03604-1"
"34853458","Advancing mathematics by guiding human intuition with AI","Davies A, Veličković P, Buesing L, Blackwell S, Zheng D, Tomašev N, Tanburn R, Battaglia P, Blundell C, Juhász A, Lackenby M, Williamson G, Hassabis D, Kohli P.","Nature. 2021 Dec;600(7887):70-74. doi: 10.1038/s41586-021-04086-x. Epub 2021 Dec 1.","Davies A","Nature","2021","2021/12/02","PMC8636249","","10.1038/s41586-021-04086-x"
"34616061","DNA methylation atlas of the mouse brain at single-cell resolution","Liu H, Zhou J, Tian W, Luo C, Bartlett A, Aldridge A, Lucero J, Osteen JK, Nery JR, Chen H, Rivkin A, Castanon RG, Clock B, Li YE, Hou X, Poirion OB, Preissl S, Pinto-Duarte A, O'Connor C, Boggeman L, Fitzpatrick C, Nunn M, Mukamel EA, Zhang Z, Callaway EM, Ren B, Dixon JR, Behrens MM, Ecker JR.","Nature. 2021 Oct;598(7879):120-128. doi: 10.1038/s41586-020-03182-8. Epub 2021 Oct 6.","Liu H","Nature","2021","2021/10/07","PMC8494641","","10.1038/s41586-020-03182-8"
"34819673","Mechanism for the activation of the anaplastic lymphoma kinase receptor","Reshetnyak AV, Rossi P, Myasnikov AG, Sowaileh M, Mohanty J, Nourse A, Miller DJ, Lax I, Schlessinger J, Kalodimos CG.","Nature. 2021 Dec;600(7887):153-157. doi: 10.1038/s41586-021-04140-8. Epub 2021 Nov 24.","Reshetnyak AV","Nature","2021","2021/11/25","PMC8639797","NIHMS1754710","10.1038/s41586-021-04140-8"
"34608286","Fault-tolerant control of an error-corrected qubit","Egan L, Debroy DM, Noel C, Risinger A, Zhu D, Biswas D, Newman M, Li M, Brown KR, Cetina M, Monroe C.","Nature. 2021 Oct;598(7880):281-286. doi: 10.1038/s41586-021-03928-y. Epub 2021 Oct 4.","Egan L","Nature","2021","2021/10/05","","","10.1038/s41586-021-03928-y"
"34707287","TMK-based cell-surface auxin signalling activates cell-wall acidification","Lin W, Zhou X, Tang W, Takahashi K, Pan X, Dai J, Ren H, Zhu X, Pan S, Zheng H, Gray WM, Xu T, Kinoshita T, Yang Z.","Nature. 2021 Nov;599(7884):278-282. doi: 10.1038/s41586-021-03976-4. Epub 2021 Oct 27.","Lin W","Nature","2021","2021/10/28","PMC8549421","","10.1038/s41586-021-03976-4"
"34616072","Morphological diversity of single neurons in molecularly defined cell types","Peng H, Xie P, Liu L, Kuang X, Wang Y, Qu L, Gong H, Jiang S, Li A, Ruan Z, Ding L, Yao Z, Chen C, Chen M, Daigle TL, Dalley R, Ding Z, Duan Y, Feiner A, He P, Hill C, Hirokawa KE, Hong G, Huang L, Kebede S, Kuo HC, Larsen R, Lesnar P, Li L, Li Q, Li X, Li Y, Li Y, Liu A, Lu D, Mok S, Ng L, Nguyen TN, Ouyang Q, Pan J, Shen E, Song Y, Sunkin SM, Tasic B, Veldman MB, Wakeman W, Wan W, Wang P, Wang Q, Wang T, Wang Y, Xiong F, Xiong W, Xu W, Ye M, Yin L, Yu Y, Yuan J, Yuan J, Yun Z, Zeng S, Zhang S, Zhao S, Zhao Z, Zhou Z, Huang ZJ, Esposito L, Hawrylycz MJ, Sorensen SA, Yang XW, Zheng Y, Gu Z, Xie W, Koch C, Luo Q, Harris JA, Wang Y, Zeng H.","Nature. 2021 Oct;598(7879):174-181. doi: 10.1038/s41586-021-03941-1. Epub 2021 Oct 6.","Peng H","Nature","2021","2021/10/07","PMC8494643","","10.1038/s41586-021-03941-1"
"34937051","Local and systemic responses to SARS-CoV-2 infection in children and adults","Yoshida M, Worlock KB, Huang N, Lindeboom RGH, Butler CR, Kumasaka N, Conde CD, Mamanova L, Bolt L, Richardson L, Polanski K, Madissoon E, Barnes JL, Allen-Hyttinen J, Kilich E, Jones BC, de Wilton A, Wilbrey-Clark A, Sungnak W, Pett JP, Weller J, Prigmore E, Yung H, Mehta P, Saleh A, Saigal A, Chu V, Cohen JM, Cane C, Iordanidou A, Shibuya S, Reuschl AK, Herczeg IT, Argento AC, Wunderink RG, Smith SB, Poor TA, Gao CA, Dematte JE; NU SCRIPT Study Investigators, Reynolds G, Haniffa M, Bowyer GS, Coates M, Clatworthy MR, Calero-Nieto FJ, Göttgens B, O'Callaghan C, Sebire NJ, Jolly C, de Coppi P, Smith CM, Misharin AV, Janes SM, Teichmann SA, Nikolić MZ, Meyer KB.","Nature. 2021 Dec 22. doi: 10.1038/s41586-021-04345-x. Online ahead of print.","Yoshida M","Nature","2021","2021/12/22","","","10.1038/s41586-021-04345-x"
