PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33384458","The Organoid Cell Atlas","Bock C, Boutros M, Camp JG, Clarke L, Clevers H, Knoblich JA, Liberali P, Regev A, Rios AC, Stegle O, Stunnenberg HG, Teichmann SA, Treutlein B, Vries RGJ; Human Cell Atlas ‘Biological Network’ Organoids.","Nat Biotechnol. 2021 Jan;39(1):13-17. doi: 10.1038/s41587-020-00762-x.","Bock C","Nat Biotechnol","2021","2021/01/01","PMC7801253","","10.1038/s41587-020-00762-x"
"32868913","Single-cell metabolic profiling of human cytotoxic T cells","Hartmann FJ, Mrdjen D, McCaffrey E, Glass DR, Greenwald NF, Bharadwaj A, Khair Z, Verberk SGS, Baranski A, Baskar R, Graf W, Van Valen D, Van den Bossche J, Angelo M, Bendall SC.","Nat Biotechnol. 2021 Feb;39(2):186-197. doi: 10.1038/s41587-020-0651-8. Epub 2020 Aug 31.","Hartmann FJ","Nat Biotechnol","2021","2020/09/02","PMC7878201","NIHMS1615049","10.1038/s41587-020-0651-8"
"33257861","A comprehensive library of human transcription factors for cell fate engineering","Ng AHM, Khoshakhlagh P, Rojo Arias JE, Pasquini G, Wang K, Swiersy A, Shipman SL, Appleton E, Kiaee K, Kohman RE, Vernet A, Dysart M, Leeper K, Saylor W, Huang JY, Graveline A, Taipale J, Hill DE, Vidal M, Melero-Martin JM, Busskamp V, Church GM.","Nat Biotechnol. 2021 Apr;39(4):510-519. doi: 10.1038/s41587-020-0742-6. Epub 2020 Nov 30.","Ng AHM","Nat Biotechnol","2021","2020/12/01","PMC7610615","EMS118413","10.1038/s41587-020-0742-6"
"33288904","Highly sensitive spatial transcriptomics at near-cellular resolution with Slide-seqV2","Stickels RR, Murray E, Kumar P, Li J, Marshall JL, Di Bella DJ, Arlotta P, Macosko EZ, Chen F.","Nat Biotechnol. 2021 Mar;39(3):313-319. doi: 10.1038/s41587-020-0739-1. Epub 2020 Dec 7.","Stickels RR","Nat Biotechnol","2021","2020/12/08","PMC8606189","NIHMS1751017","10.1038/s41587-020-0739-1"
"33349700","A multicenter study benchmarking single-cell RNA sequencing technologies using reference samples","Chen W, Zhao Y, Chen X, Yang Z, Xu X, Bi Y, Chen V, Li J, Choi H, Ernest B, Tran B, Mehta M, Kumar P, Farmer A, Mir A, Mehra UA, Li JL, Moos M Jr, Xiao W, Wang C.","Nat Biotechnol. 2021 Sep;39(9):1103-1114. doi: 10.1038/s41587-020-00748-9. Epub 2020 Dec 21.","Chen W","Nat Biotechnol","2021","2020/12/22","","","10.1038/s41587-020-00748-9"
"33077961","Mitochondrial copper depletion suppresses triple-negative breast cancer in mice","Cui L, Gouw AM, LaGory EL, Guo S, Attarwala N, Tang Y, Qi J, Chen YS, Gao Z, Casey KM, Bazhin AA, Chen M, Hu L, Xie J, Fang M, Zhang C, Zhu Q, Wang Z, Giaccia AJ, Gambhir SS, Zhu W, Felsher DW, Pegram MD, Goun EA, Le A, Rao J.","Nat Biotechnol. 2021 Mar;39(3):357-367. doi: 10.1038/s41587-020-0707-9. Epub 2020 Oct 19.","Cui L","Nat Biotechnol","2021","2020/10/20","PMC7956242","NIHMS1629218","10.1038/s41587-020-0707-9"
"32929263","Oncoprotein-specific molecular interaction maps (SigMaps) for cancer network analyses","Broyde J, Simpson DR, Murray D, Paull EO, Chu BW, Tagore S, Jones SJ, Griffin AT, Giorgi FM, Lachmann A, Jackson P, Sweet-Cordero EA, Honig B, Califano A.","Nat Biotechnol. 2021 Feb;39(2):215-224. doi: 10.1038/s41587-020-0652-7. Epub 2020 Sep 14.","Broyde J","Nat Biotechnol","2021","2020/09/15","PMC7878435","NIHMS1639463","10.1038/s41587-020-0652-7"
"32661440","Engineered off-the-shelf therapeutic T cells resist host immune rejection","Mo F, Watanabe N, McKenna MK, Hicks MJ, Srinivasan M, Gomes-Silva D, Atilla E, Smith T, Ataca Atilla P, Ma R, Quach D, Heslop HE, Brenner MK, Mamonkin M.","Nat Biotechnol. 2021 Jan;39(1):56-63. doi: 10.1038/s41587-020-0601-5. Epub 2020 Jul 13.","Mo F","Nat Biotechnol","2021","2020/07/15","PMC7854790","NIHMS1603023","10.1038/s41587-020-0601-5"
"33361824","Hypertension delays viral clearance and exacerbates airway hyperinflammation in patients with COVID-19","Trump S, Lukassen S, Anker MS, Chua RL, Liebig J, Thürmann L, Corman VM, Binder M, Loske J, Klasa C, Krieger T, Hennig BP, Messingschlager M, Pott F, Kazmierski J, Twardziok S, Albrecht JP, Eils J, Hadzibegovic S, Lena A, Heidecker B, Bürgel T, Steinfeldt J, Goffinet C, Kurth F, Witzenrath M, Völker MT, Müller SD, Liebert UG, Ishaque N, Kaderali L, Sander LE, Drosten C, Laudi S, Eils R, Conrad C, Landmesser U, Lehmann I.","Nat Biotechnol. 2021 Jun;39(6):705-716. doi: 10.1038/s41587-020-00796-1. Epub 2020 Dec 24.","Trump S","Nat Biotechnol","2021","2020/12/28","","","10.1038/s41587-020-00796-1"
"33169036","A genomic catalog of Earth's microbiomes","Nayfach S, Roux S, Seshadri R, Udwary D, Varghese N, Schulz F, Wu D, Paez-Espino D, Chen IM, Huntemann M, Palaniappan K, Ladau J, Mukherjee S, Reddy TBK, Nielsen T, Kirton E, Faria JP, Edirisinghe JN, Henry CS, Jungbluth SP, Chivian D, Dehal P, Wood-Charlson EM, Arkin AP, Tringe SG, Visel A; IMG/M Data Consortium, Woyke T, Mouncey NJ, Ivanova NN, Kyrpides NC, Eloe-Fadrosh EA.","Nat Biotechnol. 2021 Apr;39(4):499-509. doi: 10.1038/s41587-020-0718-6. Epub 2020 Nov 9.","Nayfach S","Nat Biotechnol","2021","2020/11/10","PMC8041624","","10.1038/s41587-020-0718-6"
