PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Niederer, Kyle A.; Gilmartin, Philip H.; Kozlowski, Marisa C.					Gilmartin, Philip/0000-0002-4052-9705; Kozlowski, Marisa/0000-0002-4225-7125			Oxidative Photocatalytic Homo- and Cross-Coupling of Phenols: Nonenzymatic, Catalytic Method for Coupling Tyrosine								ACS CATALYSIS				10	24			14615	14623		10.1021/acscatal.0c04515				DEC 18 2020	2020	An oxidative photocatalytic method for phenol-phenol homo- and cross-coupling is described, and isolated yields of 16-97% are obtained. Measured oxidation potentials and computed nucleophilicity parameters support a mechanism of nucleophilic attack of one partner onto the oxidized neutral radical form of the other partner. Our understanding of this model permitted the development of cross-coupling reactions between nucleophilic phenols/arenes and easily oxidized phenols with high selectivity and efficiency. A highlight of this method is that one equivalent of each coupling partner is utilized. Building on these findings, a nonenzymatic, catalytic method for coupling tyrosine was also developed.									2	0	0	0	1	0	2			2155-5435			WOS:000608850500022	33927912	
J	Benedikter, Mathis; Musso, Janis; Kesharwani, Manoj K.; Sterz, K. Leonard; Elser, Iris; Ziegler, Felix; Fischer, Felix; Plietker, Bernd; Frey, Wolfgang; Kaestner, Johannes; Winkler, Mario; van Slageren, Joris; Nowakowski, Michal; Bauer, Matthias; Buchmeiser, Michael R.				Bauer, Matthias/G-9168-2011; van Slageren, Joris/AAR-9375-2020; Kastner, Johannes/E-3460-2010	Bauer, Matthias/0000-0002-9294-6076; van Slageren, Joris/0000-0002-0855-8960; Kastner, Johannes/0000-0001-6178-7669			Charge Distribution in Cationic Molybdenum Imido Alkylidene N-Heterocyclic Carbene Complexes: A Combined X-ray, XAS, XES, DFT, Mossbauer, and Catalysis Approach								ACS CATALYSIS				10	24			14810	14823		10.1021/acscatal.0c03978				DEC 18 2020	2020	The charge delocalization between the N-heterocyclic carbene (NHC) and the metal in cationic molybdenum imido alkylidene NHC mono(nonafluoro-tert-butoxide) complexes has been studied for different NHCs, i.e., 1,3-dimesitylimidazol-2-ylidene (IMes), 1,3-dimesityl-4,5-dichloroimidazol-2-ylidene (IMesCl(2)), 1,3-dimesityl-4,5-dimethylimidazol-2-ylidene (IMesMe(2)), and 1,3-dimesityl-4,5-dihydroimidazol-2-ylidene (IMesH(2)). The binding situation in the corresponding cationic complexes Mo(N-2,6-Me2C6H3)(CHCMe2Ph)(NHC)(OC(CF3)(3))(+) B(Ar-F)(4) - (NHC = IMes (1), IMesCl(2) (2), IMesMe(2) (3), and IMesH(2) (4) was compared to that of the analogous neutral Schrock catalyst Mo(N-2,6-Me2C6H3)(CHCMe2Ph)((OC(CF3)(3)))(2) (5). Single-crystal X-ray data were used as a starting point for the optimization of the geometries of the catalysts at the PBE0-D3BJ/def2-SVP level of theory; the obtained data were compared to those obtained from X-ray absorption (XAS) and emission spectroscopy (XES). The very similar X-ray spectroscopic signatures of the XANES (X-ray absorption near-edge structure) and K beta-XES of catalysts 1, 2, and 5 suggest that a similar oxidation state and charge are present at the Mo center in all three cases. However, charge delocalization is more pronounced in 1 and 2 compared to 5. This is supported by quantum chemical (QC) calculations, which reveal that all NHCs compensate to a very similar extent for the cationic charge at molybdenum, leading to charge model 5 (CM5) partial charges at Mo between +1.292 and +1.298. Accordingly, the partial charge in the NHCs was in the range of +0.486 to +0.515. This strong delocalization of the positive charge in cationic molybdenum imido alkylidene NHC (nonafluoro-tert-butoxide) complexes is also illustrated by the finding that the analogous neutral Schrock catalyst 5 has a more positive charge at molybdenum (+1.435) despite being a neutral 14-electron complex. Complementarily, charge analysis on complexes 1 and 2 and the acetonitrile-containing derivatives 1 center dot MeCN and 2 center dot MeCN revealed that a small partial positive charge of about +0.1 was found on acetonitrile, accompanied by an increase in positive charge on Mo. Accordingly, the partial charges at the imido, the alkoxide, and NHC ligands decreased slightly. Finally, the catalytic activity of complexes 1-4 was determined for a number of purely hydrocarbon-based substrates in a set of olefin metathesis reactions. A correlation of the Tolman electronic parameter (TEP) with catalyst activity, expressed as the turnover frequency after 3 min, TOF3min, was found for complexes 1-3 based on imidazol-2-ylidenes. Fe-57-Mossbauer measurements on Mo(N-2,6-Me2C6H3)(CH-ferrocenyl)(NHC)(OTf)(2) and Mo(N-2,6-Me2C6H3)(CH-ferrocenyl)(NHC)(OTf)(+) B(Ar-F)(4)(-) (NHC = IMes (6, 8) and IMesH(2) (7, 9)) revealed significant changes in the quadrupole splitting of these complexes. These suggest a significantly more efficient charge distribution between the cationic molybdenum center and an imidazol-2-ylidene-based NHC compared to the same catalysts containing the IMesH(2) ligand.									2	0	0	0	0	0	2			2155-5435			WOS:000608850500038		
J	Chen, Xiao-Yang; Zhou, Xukai; Wang, Jianchun; Dong, Guangbin					Wang, Jianchun/0000-0002-3998-8699			FMPhos: Expanding the Catalytic Capacity of Small-Bite-Angle Bisphosphine Ligands in Regioselective Alkene Hydrofunctionalizations								ACS CATALYSIS				10	24			14349	14358		10.1021/acscatal.0c04199				DEC 18 2020	2020	In contrast to the plethora of large-bite-angle bisphosphine ligands available to transition-metal catalysis, the development of small-bite-angle bisphosphine ligands has suffered from the limited structural variations accessible on their single-atom-containing backbones. Herein, we report the design and applications of a discrete very small bite-angle bisphosphine ligand, namely, FMPhos. Featuring a fluorene-methylene unit appended on the single-carbon linker, the ligand harbors an unusually rigid backbone that presumably stabilizes its complexation with transition metals during catalysis. Compared with the known dppm ligand, it exhibited superior reactivity and regioselectivity in a number of alkene hydrofunctionalization reactions, catalyzed by iridium and rhodium.									5	0	0	0	0	0	5			2155-5435			WOS:000608850500002		
J	Wang, Yu; Zhang, Jian-Xin; Shu, Wei					Shu, Wei/0000-0003-0890-2634			Cu-Catalyzed Remote Transarylation of Amines via Unstrained C-C Functionalization								ACS CATALYSIS				10	24			15065	15070		10.1021/acscatal.0c04718				DEC 18 2020	2020	Remote arylation of amines via C-C bond functionalization has not been reported yet. Herein, we develop the gamma-transarylation of amines through the cleavage of unstrained C-C bond enabled by copper catalysis under mild conditions, representing the example of utilization of unstrained C-C bond for metal-catalyzed C-C cross-coupling. Mechanistic investigations reveal that the redox-neutral reaction undergoes an intercepted radical pathway to cleave the C-sp2-C-sp3 bond, followed by the combination with copper-catalyzed arylation reaction in the presence of aryl boronic acid to construct a new C-sp2-C-sp3 bond.									5	0	0	0	0	0	4			2155-5435			WOS:000608850500059		
J	Morozan, Adina; Johnson, Hannah; Roiron, Camille; Genay, Ghislain; Aldakov, Dmitry; Ghedjatti, Ahmed; Nguyen, Chuc T.; Tran, Phong D.; Kinge, Sachin; Artero, Vincent					Roiron, Camille/0000-0001-9772-8249			Nonprecious Bimetallic Iron-Molybdenum Sulfide Electrocatalysts for the Hydrogen Evolution Reaction in Proton Exchange Membrane Electrolyzers								ACS CATALYSIS				10	24			14336	14348		10.1021/acscatal.0c03692				DEC 18 2020	2020	In this study, we report the synthesis and characterization of nonprecious bimetallic iron-molybdenum sulfide bio-inspired electrocatalysts for the hydrogen evolution reaction (HER). Iron-molybdenum sulfide materials were obtained through three distinct scalable synthetic approaches using microwave irradiation or heat treatment in furnace under inert and reductive atmospheres. These electrocatalysts were combined with carbon nanotubes (CNTs), and their activity for the hydrogen evolution reaction (HER) was studied in acidic environment. The most efficient composite material of the series was obtained by microwave synthesis and displays a current density per geometric area of 10 mA.cm(-2) at an overpotential of 140 mV with unity faradic efficiency for hydrogen evolution. This composite cathode catalyst was implemented into a proton exchange membrane (PEM) electrolyzer single cell with iridium black as the anode catalyst and could be operated at 0.5 A.cm(-2), requiring less than 300 mV additional voltage compared to Pt and with remarkable stability during accelerated stress testing.									7	0	0	0	1	0	7			2155-5435			WOS:000608850500001		
J	Luo, Jie; Du, Ke-Jie; Yuan, Hong; Wei, Chuan-Wan; Lang, Jia-Jia; Wen, Ge-Bo; Wang, Yong-Hua; Lin, Ying-Wu				Lin, Ying-Wu/D-7183-2015	Lin, Ying-Wu/0000-0002-2457-0871			Rational Design of an Artificial Nuclease by Engineering a Hetero-Dinuclear Center of Mg-Heme in Myoglobin								ACS CATALYSIS				10	24			14359	14365		10.1021/acscatal.0c04572				DEC 18 2020	2020	Design of artificial nucleases is essential in biotechnology and biomedicine, whereas few artificial nucleases can both cleave and degrade DNA molecules. Heme proteins are potential enzymes for DNA cleavage. Using a small heme protein, myoglobin (Mb), as a model protein, we engineered a metal-binding motif of [1-His-1-Glu] (native His64 and mutated Glu29) in the heme distal site. The single mutant of L29E Mb was capable of not only efficient DNA cleavage but also DNA degradation upon Mg2+ binding to the heme distal site, as shown by an X-ray crystal structure of the Mg2+-L29E Mb complex. Molecular docking of the protein-DNA complex revealed multiple hydrogen-bonding interactions at their interfaces, involving both minor and major grooves of DNA. Moreover, both the distal Arg45 and the ligand Glu29 were identified as critical residues for the nuclease activity. This study reports the structure of a water-bridged heterodinuclear center of Mg-heme (Mg2+-H2O-Fe3+), showing a similar function as the homodinuclear center (MgA(2+)-H2O-MgB2+) in natural nuclease, which indicates that the Mg2+-L29E Mb complex is an effective artificial nuclease.									7	0	0	0	2	0	7			2155-5435			WOS:000608850500003		
J	Lu, Yangfan; Ye, Tian-Nan; Park, Sang-Won; Li, Jiang; Sasase, Masato; Abe, Hitoshi; Niwa, Yasuhiro; Kitano, Masaaki; Hosono, Hideo				Abe, Hitoshi/AAH-1650-2020; Hosono, Hideo/T-1845-2019; Park, Sang-Won/ABB-7262-2020	Abe, Hitoshi/0000-0001-6970-3642; Park, Sang-Won/0000-0002-2843-9803; Niwa, Yasuhiro/0000-0001-5808-5594			Intermetallic ZrPd3-Embedded Nanoporous ZrC as an Efficient and Stable Catalyst of the Suzuki Cross-Coupling Reaction								ACS CATALYSIS				10	24			14366	14374		10.1021/acscatal.0c03416				DEC 18 2020	2020	The Suzuki cross-coupling reaction, which is generally catalyzed by Pd-based materials, is a practical approach to create C-C bonds. Although heterogeneous catalysts, including metal-loaded and intermetallic catalysts, afford simple reaction conditions and catalyst reusability, it is challenging to achieve high catalytic activity, durability, and Pd-atom economy together in a single catalyst. Herein, we report the successful preparation of Pd-ZrC, a Pd-based catalyst with the described desirable features. In it, a-few-nanometer-sized nanoparticles of intermetallic ZrPd3 are uniformly dispersed on the surface of nanoporous ZrC with a surface area of 340-450 m(2) g(-1). As a result of the presence of electron-rich Pd sites and the material's strong electron-donating ability, Pd-ZrC achieved high catalytic performance in Suzuki cross-coupling reactions at room temperature. Because a low Pd content (1 wt %) is sufficient to produce highly catalytically active Pd-ZrC, this material represents a great improvement in terms of Pd-atom economy over previously reported catalysts. Moreover, no catalytic degradation was noted over up to the presented 15 reaction cycles as the active Pd sites were stabilized in the ZrPd3 lattice. These results indicate that Pd-ZrC has the advantages of both metal-loaded and intermetallic catalysts, providing an approach to enhance the degree of freedom for designing heterogeneous catalysts.									2	0	0	0	0	0	2			2155-5435			WOS:000608850500004		
J	Wang, Shuaibo; Jiang, Shengsheng; Chen, Hao; Bai, Wen-Ju; Wang, Xiqing								Directed Evolution of a Hydroxylase into a Decarboxylase for Synthesis of 1-Alkenes from Fatty Acids								ACS CATALYSIS				10	24			14375	14379		10.1021/acscatal.0c04345				DEC 18 2020	2020	Inspired by the catalytic mechanism of cytochrome P450 enzymes, we have evolved a fatty acid hydroxylase, P450BS beta, into a decarboxylase after four rounds of saturation mutagenesis that now predominantly converts fatty acids to 1-alkenes. The engineered enzyme directly utilizes inexpensive H2O2 to oxidatively decarboxylate C6-C18 saturated fatty acids as well as plant oil-derived unsaturated fatty acids, displaying high reactivity (e.g., 3,700 h(-1) of turnover frequency for myristic acid). With in situ H2O2 supplied by glucose oxidase, this enzyme delivers 1-alkenes in a more productive and scalable fashion (up to 99% yield). Our directed evolution efforts present a strategy for developing new fatty acid decarboxylase for downstream biocatalytic applications.									4	0	0	0	1	0	4			2155-5435			WOS:000608850500005		
J	Wu, Shuai; Yu, Hongtao; Chen, Shuo; Quan, Xie					Quan, Xie/0000-0003-3085-0789			Enhanced Photocatalytic H2O2 Production over Carbon Nitride by Doping and Defect Engineering								ACS CATALYSIS				10	24			14380	14389		10.1021/acscatal.0c03359				DEC 18 2020	2020	Photocatalytic production of H2O2 from the reduction of O-2 by semiconductor photocatalysts (e.g., graphitic carbon nitride, C3N4) has been regarded as an alternative for small-scale decentralized H2O2 production. However, the efficiency of pristine C3N4 photocatalysts is still limited by the narrow light absorption range and rapid charge recombination. Here, we presented a facile approach to simultaneously enhance the light absorption and promote the charge separation by introducing alkali metal dopants and N vacancies on C3N4. The introduction of alkali metal dopants and N vacancies successfully broadened the light absorption range, reduced the band gap from 2.85 to 2.63 eV, and greatly inhibited the charge recombination. The synergistic effect of doping and defect resulted in the improvement of photocatalytic performance with a H2O2 production rate of 10.2 mmol/h/g, which is 89.5 times that of pristine C3N4. Thus, this work not only gives insights into the synergistic effect of doping and defect for simultaneously manipulating the light absorption and charge separation processes but also inspires further work to develop more efficient photocatalysts for H2O2 production.									25	0	0	0	4	0	25			2155-5435			WOS:000608850500006		
J	Kaithal, Akash; Kalsi, Deepti; Krishnakumar, Varadhan; Pattanaik, Sandip; Bordet, Alexis; Leitner, Walter; Gunanathan, Chidambaram				Leitner, Walter/D-3031-2015	Leitner, Walter/0000-0001-6100-9656; Bordet, Alexis/0000-0003-0133-3416			Ruthenium-Catalyzed Selective Hydroboronolysis of Ethers								ACS CATALYSIS				10	24			14390	14397		10.1021/acscatal.0c04269				DEC 18 2020	2020	A ruthenium-catalyzed reaction of HBpin with substituted organic ethers leads to the activation of C-O bonds, resulting in the formation of alkanes and boronate esters via hydroboronolysis. A ruthenium precatalyst, [Ru (p-cymene)Cl](2)Cl-2 (1), is employed, and the reactions proceed under neat conditions at 135 degrees C and atmospheric pressure (ca. 1.5 bar at 135 degrees C). Unsymmetrical dibenzyl ethers undergo selective hydroboronolysis on relatively electron-poor C-O bonds. In arylbenzyl or alkylbenzyl ethers, C-O bond cleavage occurs selectively on C-Bn-OR bonds (Bn = benzyl); in alkylmethyl ethers, selective deconstruction of C-Me-OR bonds leads to the formation of alkylboronate esters and methane. Cyclic ethers are also amenable to catalytic hydroboronolysis. Mechanistic studies indicated the immediate in situ formation of a mono-hydridobridged dinuclear ruthenium complex [{(eta(6)-p-cymene)RuCl}(2)(mu-H-mu-Cl)] (2), which is highly active for hydroboronolysis of ethers. Over time, the dinuclear species decompose to produce ruthenium nanoparticles that are also active for this transformation. Using this catalytic system, hydroboronolysis could be applied effectively to a very large scope of ethers, demonstrating its great potential to cleave C-O bonds in ethers as an alternative to traditional hydrogenolysis.									4	0	0	0	0	0	4			2155-5435			WOS:000608850500007		
